"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"122","berlin","2020-13-10",192050,"Pankow Süd",52.57241,13.42187,"Entire apartment","Entire home/apt",5,2,4,"$48.00",90,360,0,48,1440
"123","berlin","2020-13-10",192499,"Tempelhofer Vorstadt",52.49365,13.42115,"Private room in guest suite","Private room",2,1,1,"$25.00",2,1125,22,25,200
"124","berlin","2020-13-10",193601,"Pankow Süd",52.55522,13.42307,"Entire apartment","Entire home/apt",2,1,1,"$75.00",3,1125,0,75,2250
"125","berlin","2020-13-10",194124,"Halensee",52.49575,13.2971,"Entire loft","Entire home/apt",2,1,1,"$88.00",6,180,30,NA,0
"126","berlin","2020-13-10",194374,"Karlshorst",52.4766,13.50838,"Entire house","Entire home/apt",5,2,4,"$65.00",3,365,24,65,390
"127","berlin","2020-13-10",194465,"Karl-Marx-Allee-Nord",52.52044,13.44498,"Entire loft","Entire home/apt",2,1,0,"$75.00",3,120,2,72.5,2030
"128","berlin","2020-13-10",194546,"Alexanderplatz",52.50645,13.41705,"Entire apartment","Entire home/apt",4,1,4,"$53.00",4,365,12,52,936
"129","berlin","2020-13-10",194694,"Alt-Lichtenberg",52.51245,13.49214,"Private room in apartment","Private room",2,1,1,"$35.71",3,14,19,34.5454545454545,380
"130","berlin","2020-13-10",195413,"Zehlendorf  Nord",52.43469,13.23076,"Entire apartment","Entire home/apt",6,2,4,"$300.00",60,1125,17,300,3900
"131","berlin","2020-13-10",197291,"Blankenburg/Heinersdorf/Märchenland",52.58089,13.44377,"Entire apartment","Entire home/apt",3,1,1,"$119.00",1,365,22,119,952
"132","berlin","2020-13-10",198239,"nördliche Luisenstadt",52.50444,13.41559,"Entire loft","Entire home/apt",2,1,1,"$89.00",3,730,0,89,2670
"133","berlin","2020-13-10",198584,"Düsseldorfer Straße",52.49889,13.32386,"Private room in apartment","Private room",1,1,1,"$42.00",7,365,0,42,1260
"134","berlin","2020-13-10",200125,"Zehlendorf  Nord",52.43704,13.22343,"Entire condominium","Entire home/apt",4,2,6,"$89.00",60,60,30,NA,0
"135","berlin","2020-13-10",203634,"Helmholtzplatz",52.54301,13.41525,"Entire condominium","Entire home/apt",4,2,2,"$170.00",5,180,0,170,5100
"136","berlin","2020-13-10",204609,"Neu Lichtenberg",52.50521,13.47859,"Private room in apartment","Private room",2,1,2,"$58.00",2,30,29,65,65
"137","berlin","2020-13-10",205296,"Rudow",52.41235,13.50031,"Entire apartment","Entire home/apt",4,2,4,"$100.00",5,730,23,100,700
"138","berlin","2020-13-10",206021,"Mierendorffplatz",52.52464,13.29949,"Private room in apartment","Private room",1,1,1,"$35.00",3,30,28,35,70
"139","berlin","2020-13-10",206454,"Brunnenstr. Süd",52.53203,13.40097,"Entire apartment","Entire home/apt",2,1,1,"$120.00",3,30,0,120,3600
"140","berlin","2020-13-10",207740,"nördliche Luisenstadt",52.50042,13.43578,"Entire apartment","Entire home/apt",5,3,3,"$195.00",7,25,0,195,5850
"141","berlin","2020-13-10",208495,"Frankfurter Allee Süd FK",52.51275,13.46358,"Entire apartment","Entire home/apt",2,1,1,"$150.00",2,500,0,150,4500
"142","berlin","2020-13-10",209649,"Kantstraße",52.51079,13.30216,"Private room in apartment","Private room",2,1,1,"$43.00",7,95,8,43,946
"143","berlin","2020-13-10",210734,"Moabit West",52.52183,13.33318,"Entire apartment","Entire home/apt",5,1,2,"$175.00",3,21,0,175,5250
"144","berlin","2020-13-10",212470,"Tempelhofer Vorstadt",52.49778,13.38337,"Private room in apartment","Private room",2,1,1,"$40.00",5,760,0,40,1200
"145","berlin","2020-13-10",214491,"Alexanderplatz",52.52076,13.38192,"Private room in apartment","Private room",1,1,1,"$39.00",1,4,30,NA,0
"146","berlin","2020-13-10",214518,"Otto-Suhr-Allee",52.5189,13.3009,"Private room in apartment","Private room",1,1,1,"$45.00",1,28,30,NA,0
"147","berlin","2020-13-10",220445,"Mierendorffplatz",52.5247,13.29956,"Entire apartment","Entire home/apt",2,1,2,"$45.00",30,365,0,45,1350
"148","berlin","2020-13-10",221015,"Wedding Zentrum",52.54063,13.35147,"Entire apartment","Entire home/apt",4,2,2,"$51.00",1,1125,14,54.125,866
"149","berlin","2020-13-10",222784,"Moabit West",52.5298,13.34037,"Entire apartment","Entire home/apt",2,1,2,"$41.00",60,1125,16,41,574
"150","berlin","2020-13-10",223622,"Karl-Marx-Allee-Süd",52.51503,13.44385,"Entire apartment","Entire home/apt",3,1,1,"$45.00",2,28,0,45,1350
"151","berlin","2020-13-10",226108,"Alexanderplatz",52.52914,13.40294,"Entire apartment","Entire home/apt",2,1,1,"$70.00",30,300,0,70,2100
"152","berlin","2020-13-10",228964,"Alexanderplatz",52.52438,13.40736,"Private room in apartment","Private room",1,1,2,"$45.00",1,24,30,NA,0
"153","berlin","2020-13-10",229075,"südliche Luisenstadt",52.49436,13.42913,"Entire apartment","Entire home/apt",4,2,2,"$75.00",10,900,0,75,2250
"154","berlin","2020-13-10",229099,"Altglienicke",52.40355,13.53373,"Private room in house","Private room",1,1,1,"$35.00",1,180,30,NA,0
"155","berlin","2020-13-10",229348,"Moabit Ost",52.51992,13.34149,"Entire apartment","Entire home/apt",2,1,2,"$79.00",5,365,0,79,2370
"156","berlin","2020-13-10",229363,"Moabit Ost",52.52207,13.34353,"Entire apartment","Entire home/apt",2,1,1,"$79.00",5,365,29,79,79
"157","berlin","2020-13-10",229776,"Alexanderplatz",52.52861,13.40527,"Private room in apartment","Private room",2,1,1,"$50.00",3,60,0,50.3333333333333,1510
"158","berlin","2020-13-10",230611,"Lichtenrade",52.39269,13.39163,"Entire house","Entire home/apt",8,4,0,"$80.00",60,365,0,80,2400
"159","berlin","2020-13-10",231220,"Westend",52.5119,13.28474,"Entire apartment","Entire home/apt",1,1,1,"$30.00",60,365,0,30,900
"160","berlin","2020-13-10",231598,"Schöneberg-Nord",52.49176,13.35144,"Entire apartment","Entire home/apt",2,2,0,"$35.00",120,320,0,35,1050
"161","berlin","2020-13-10",233083,"Neue Kantstraße",52.50397,13.29597,"Entire apartment","Entire home/apt",2,1,0,"$98.00",10,365,0,98,2940
"162","berlin","2020-13-10",233453,"Reuterstraße",52.48417,13.43728,"Private room in apartment","Private room",2,1,1,"$32.00",2,14,0,32,960
"163","berlin","2020-13-10",233770,"Mahlsdorf",52.47588,13.60761,"Entire apartment","Entire home/apt",4,1,4,"$59.00",3,180,30,NA,0
"164","berlin","2020-13-10",234642,"Ost 1",52.56307,13.36523,"Entire house","Entire home/apt",8,2,2,"$135.00",5,30,27,135,405
"165","berlin","2020-13-10",236509,"Alexanderplatz",52.51579,13.41855,"Entire apartment","Entire home/apt",4,2,2,"$82.00",90,365,0,82,2460
"166","berlin","2020-13-10",237359,"West 5",52.58797,13.2784,"Entire apartment","Entire home/apt",2,1,2,"$50.00",5,180,28,50,100
"167","berlin","2020-13-10",237372,"Prenzlauer Berg Südwest",52.53697,13.40892,"Entire condominium","Entire home/apt",5,2,4,"$84.00",3,90,30,NA,0
"168","berlin","2020-13-10",237670,"Buckow Nord",52.44142,13.46075,"Entire apartment","Entire home/apt",3,NA,1,"$45.00",2,365,20,45,450
"169","berlin","2020-13-10",238396,"Prenzlauer Berg Südwest",52.53214,13.41519,"Entire apartment","Entire home/apt",2,1,1,"$41.00",2,35,12,43.7222222222222,787
